date,ticker,shares_outstanding
2019-01-05,RELIANCE.NS,5925740032.0
2019-01-07,RELIANCE.NS,5925819904.0
2019-01-08,RELIANCE.NS,5925819904.0
2019-01-09,RELIANCE.NS,5925819904.0
2019-01-10,RELIANCE.NS,5925819904.0
2019-01-12,RELIANCE.NS,5925819904.0
2019-01-14,RELIANCE.NS,5925819904.0
2019-01-16,RELIANCE.NS,5925819904.0
2019-01-17,RELIANCE.NS,5925819904.0
2019-01-21,RELIANCE.NS,5925819904.0
2019-01-22,RELIANCE.NS,5925819904.0
2019-01-25,RELIANCE.NS,5925819904.0
2019-01-26,RELIANCE.NS,5925819904.0
2019-01-28,RELIANCE.NS,5925839872.0
2019-01-30,RELIANCE.NS,5925839872.0
2019-02-04,RELIANCE.NS,5925839872.0
2019-02-07,RELIANCE.NS,5925839872.0
2019-02-10,RELIANCE.NS,5925839872.0
2019-02-11,RELIANCE.NS,5925839872.0
2019-02-14,RELIANCE.NS,5925839872.0
2019-02-15,RELIANCE.NS,5925839872.0
2019-02-18,RELIANCE.NS,5925839872.0
2019-02-20,RELIANCE.NS,5925839872.0
2019-03-01,RELIANCE.NS,5925870080.0
2019-03-09,RELIANCE.NS,5925870080.0
2019-03-11,RELIANCE.NS,5925870080.0
2019-03-14,RELIANCE.NS,5925870080.0
2019-03-15,RELIANCE.NS,5925870080.0
2019-03-17,RELIANCE.NS,5925870080.0
2019-03-18,RELIANCE.NS,5925870080.0
2019-03-26,RELIANCE.NS,5925870080.0
2019-03-27,RELIANCE.NS,5925870080.0
2019-03-30,RELIANCE.NS,5925870080.0
2019-04-02,RELIANCE.NS,5925870080.0
2019-04-05,RELIANCE.NS,5925870080.0
2019-04-09,RELIANCE.NS,5925870080.0
2019-04-14,RELIANCE.NS,5925929984.0
2019-04-15,RELIANCE.NS,5925929984.0
2019-04-17,RELIANCE.NS,5925929984.0
2019-04-19,RELIANCE.NS,5925929984.0
2019-04-21,RELIANCE.NS,5925929984.0
2019-04-29,RELIANCE.NS,5926090240.0
2019-05-02,RELIANCE.NS,5926090240.0
2019-05-03,RELIANCE.NS,5926090240.0
2019-05-05,RELIANCE.NS,5926090240.0
2019-05-07,RELIANCE.NS,5926090240.0
2019-05-09,RELIANCE.NS,5926090240.0
2019-05-12,RELIANCE.NS,5926090240.0
2019-05-13,RELIANCE.NS,5926090240.0
2019-05-19,RELIANCE.NS,5926090240.0
2019-05-20,RELIANCE.NS,5926090240.0
2019-05-22,RELIANCE.NS,5926090240.0
2019-05-23,RELIANCE.NS,5926090240.0
2019-05-28,RELIANCE.NS,5926210048.0
2019-06-01,RELIANCE.NS,5926210048.0
2019-06-03,RELIANCE.NS,5926210048.0
2019-06-04,RELIANCE.NS,5926210048.0
2019-06-05,RELIANCE.NS,5926210048.0
2019-06-07,RELIANCE.NS,5926210048.0
2019-06-10,RELIANCE.NS,5926210048.0
2019-06-11,RELIANCE.NS,5926210048.0
2019-06-13,RELIANCE.NS,5926210048.0
2019-06-17,RELIANCE.NS,5926210048.0
2019-06-19,RELIANCE.NS,5926210048.0
2019-06-21,RELIANCE.NS,5926210048.0
2019-06-22,RELIANCE.NS,5926210048.0
2019-06-23,RELIANCE.NS,5926210048.0
2019-06-25,RELIANCE.NS,5926210048.0
2019-06-26,RELIANCE.NS,6175410176.0
2019-06-28,RELIANCE.NS,6241070080.0
2019-07-03,RELIANCE.NS,6387250176.0
2019-07-04,RELIANCE.NS,6339040256.0
2019-07-05,RELIANCE.NS,6319020032.0
2019-07-06,RELIANCE.NS,6339080192.0
2019-07-07,RELIANCE.NS,6346240000.0
2019-07-11,RELIANCE.NS,6339080192.0
2019-07-25,RELIANCE.NS,6339089920.0
2019-07-26,RELIANCE.NS,6339089920.0
2019-08-05,RELIANCE.NS,6317139968.0
2019-08-06,RELIANCE.NS,6339089920.0
2019-08-07,RELIANCE.NS,6566410240.0
2019-08-08,RELIANCE.NS,6255649792.0
2019-08-09,RELIANCE.NS,6474209792.0
2019-08-10,RELIANCE.NS,6339089920.0
2019-08-20,RELIANCE.NS,6411509760.0
2019-08-21,RELIANCE.NS,6339089920.0
2019-08-22,RELIANCE.NS,6314250240.0
2019-08-23,RELIANCE.NS,6339089920.0
2019-08-30,RELIANCE.NS,6449140224.0
2019-09-03,RELIANCE.NS,6414009856.0
2019-09-07,RELIANCE.NS,6681310208.0
2019-09-10,RELIANCE.NS,6550689792.0
2019-09-11,RELIANCE.NS,6552289792.0
2019-09-12,RELIANCE.NS,6339120128.0
2019-09-18,RELIANCE.NS,6269490176.0
2019-09-19,RELIANCE.NS,6339120128.0
2019-09-20,RELIANCE.NS,6199009792.0
2019-09-21,RELIANCE.NS,6339120128.0
2019-09-27,RELIANCE.NS,6424580096.0
2019-09-28,RELIANCE.NS,6339120128.0
2019-10-05,RELIANCE.NS,6309389824.0
2019-10-08,RELIANCE.NS,6329449984.0
2019-10-09,RELIANCE.NS,6339120128.0
2019-10-16,RELIANCE.NS,6367830016.0
2019-10-17,RELIANCE.NS,6377249792.0
2019-10-18,RELIANCE.NS,6339149824.0
2019-10-23,RELIANCE.NS,6329299968.0
2019-10-24,RELIANCE.NS,6241650176.0
2019-10-25,RELIANCE.NS,6539689984.0
2019-10-26,RELIANCE.NS,6339149824.0
2019-10-28,RELIANCE.NS,6339160064.0
2019-11-04,RELIANCE.NS,6371570176.0
2019-11-07,RELIANCE.NS,6368300032.0
2019-11-07,RELIANCE.NS,6335900160.0
2019-11-08,RELIANCE.NS,6294150144.0
2019-11-09,RELIANCE.NS,6343289856.0
2019-11-10,RELIANCE.NS,6339160064.0
2019-11-14,RELIANCE.NS,6536730112.0
2019-11-16,RELIANCE.NS,6339160064.0
2019-11-27,RELIANCE.NS,6339200000.0
2019-12-10,RELIANCE.NS,6267850240.0
2019-12-11,RELIANCE.NS,6339200000.0
2019-12-12,RELIANCE.NS,6341029888.0
2019-12-13,RELIANCE.NS,6362740224.0
2019-12-14,RELIANCE.NS,6339200000.0
2019-12-17,RELIANCE.NS,6273930240.0
2019-12-18,RELIANCE.NS,6323420160.0
2019-12-19,RELIANCE.NS,6339200000.0
2020-01-08,RELIANCE.NS,6331570176.0
2020-01-09,RELIANCE.NS,6339219968.0
2020-01-10,RELIANCE.NS,6436749824.0
2020-01-12,RELIANCE.NS,6387189760.0
2020-01-13,RELIANCE.NS,6483760128.0
2020-01-14,RELIANCE.NS,6339219968.0
2020-01-28,RELIANCE.NS,6339239936.0
2020-02-07,RELIANCE.NS,6379939840.0
2020-02-08,RELIANCE.NS,6339239936.0
2020-02-12,RELIANCE.NS,6414969856.0
2020-02-13,RELIANCE.NS,6339239936.0
2020-02-14,RELIANCE.NS,6355840000.0
2020-02-15,RELIANCE.NS,6339239936.0
2020-02-19,RELIANCE.NS,6292709888.0
2020-02-21,RELIANCE.NS,6339239936.0
2020-02-26,RELIANCE.NS,6467010048.0
2020-02-27,RELIANCE.NS,6450390016.0
2020-02-28,RELIANCE.NS,6339270144.0
2020-03-06,RELIANCE.NS,6492530176.0
2020-03-07,RELIANCE.NS,6339270144.0
2020-04-06,RELIANCE.NS,6339290112.0
2020-04-28,RELIANCE.NS,6339330048.0
2020-05-07,RELIANCE.NS,6339400192.0
2020-05-13,RELIANCE.NS,6399490048.0
2020-06-16,RELIANCE.NS,6761840128.0
2020-06-30,RELIANCE.NS,6761840128.0
2020-07-31,RELIANCE.NS,6762030080.0
2020-08-28,RELIANCE.NS,6762039808.0
2020-09-05,RELIANCE.NS,6762039808.0
2020-09-06,RELIANCE.NS,6762039808.0
2020-11-20,RELIANCE.NS,6762039808.0
2020-11-26,RELIANCE.NS,6762070016.0
2021-02-02,RELIANCE.NS,6762070016.0
2021-02-02,RELIANCE.NS,6571720192.0
2021-03-06,RELIANCE.NS,6762070016.0
2021-03-08,RELIANCE.NS,6762070016.0
2021-03-17,RELIANCE.NS,6762070016.0
2021-04-23,RELIANCE.NS,6743450112.0
2021-04-24,RELIANCE.NS,6750709760.0
2021-04-27,RELIANCE.NS,6762070016.0
2021-05-11,RELIANCE.NS,6762070016.0
2021-10-01,RELIANCE.NS,6762070016.0
2021-10-01,RELIANCE.NS,6785149952.0
2021-10-20,RELIANCE.NS,6765969920.0
2021-12-07,RELIANCE.NS,6896699904.0
2021-12-08,RELIANCE.NS,6765969920.0
2021-12-17,RELIANCE.NS,6765989888.0
2022-01-25,RELIANCE.NS,7050390016.0
2022-01-26,RELIANCE.NS,6765989888.0
2022-02-11,RELIANCE.NS,6765989888.0
2022-02-24,RELIANCE.NS,6808600064.0
2022-02-25,RELIANCE.NS,7120829952.0
2022-02-26,RELIANCE.NS,6765989888.0
2022-03-04,RELIANCE.NS,6823600128.0
2022-03-05,RELIANCE.NS,6765989888.0
2022-03-17,RELIANCE.NS,6868190208.0
2022-03-18,RELIANCE.NS,6765989888.0
2022-04-01,RELIANCE.NS,6864090112.0
2022-04-02,RELIANCE.NS,6765989888.0
2023-07-06,RELIANCE.NS,6766110208.0
2023-07-12,RELIANCE.NS,6839459840.0
2023-07-13,RELIANCE.NS,6766110208.0
2023-07-14,RELIANCE.NS,6766110208.0
2023-07-14,RELIANCE.NS,6827160064.0
2023-07-19,RELIANCE.NS,6823569920.0
2023-08-22,RELIANCE.NS,6766110208.0
2023-08-23,RELIANCE.NS,6767719936.0
2023-08-24,RELIANCE.NS,6766110208.0
2023-08-30,RELIANCE.NS,6766110208.0
2023-08-30,RELIANCE.NS,6831519744.0
2023-09-01,RELIANCE.NS,6797170176.0
2023-09-01,RELIANCE.NS,6766110208.0
2023-09-21,RELIANCE.NS,6920339968.0
2023-09-21,RELIANCE.NS,6766110208.0
2023-10-05,RELIANCE.NS,6766110208.0
2023-10-06,RELIANCE.NS,6766110208.0
2023-10-06,RELIANCE.NS,6766260224.0
2023-10-08,RELIANCE.NS,6766110208.0
2023-10-10,RELIANCE.NS,6824249856.0
2023-10-10,RELIANCE.NS,6766110208.0
2023-10-19,RELIANCE.NS,6857090048.0
2023-10-19,RELIANCE.NS,6766110208.0
2023-10-22,RELIANCE.NS,6766110208.0
2023-10-23,RELIANCE.NS,6766110208.0
2023-11-01,RELIANCE.NS,6766110208.0
2023-11-04,RELIANCE.NS,6767569920.0
2023-11-07,RELIANCE.NS,6766110208.0
2023-11-08,RELIANCE.NS,6810370048.0
2023-11-09,RELIANCE.NS,6766110208.0
2023-11-09,RELIANCE.NS,6775090176.0
2023-11-10,RELIANCE.NS,6840339968.0
2023-11-10,RELIANCE.NS,6766110208.0
2023-11-11,RELIANCE.NS,6766110208.0
2023-11-14,RELIANCE.NS,6766989824.0
2023-11-14,RELIANCE.NS,6766110208.0
2023-11-17,RELIANCE.NS,6766110208.0
2023-11-21,RELIANCE.NS,6766110208.0
2023-11-21,RELIANCE.NS,6783969792.0
2023-11-22,RELIANCE.NS,6766110208.0
2023-11-24,RELIANCE.NS,6766110208.0
2023-11-25,RELIANCE.NS,6770630144.0
2023-11-25,RELIANCE.NS,6766110208.0
2023-12-01,RELIANCE.NS,6766110208.0
2023-12-05,RELIANCE.NS,6766110208.0
2023-12-06,RELIANCE.NS,6766110208.0
2023-12-07,RELIANCE.NS,6766110208.0
2023-12-08,RELIANCE.NS,6766110208.0
2023-12-14,RELIANCE.NS,6766110208.0
2023-12-21,RELIANCE.NS,6766110208.0
2023-12-21,RELIANCE.NS,6848970240.0
2023-12-22,RELIANCE.NS,6766110208.0
2023-12-23,RELIANCE.NS,6766110208.0
2023-12-24,RELIANCE.NS,6766110208.0
2023-12-27,RELIANCE.NS,6766110208.0
2023-12-29,RELIANCE.NS,6766110208.0
2023-12-30,RELIANCE.NS,6820029952.0
2023-12-30,RELIANCE.NS,6766110208.0
2024-01-02,RELIANCE.NS,6766110208.0
2024-01-04,RELIANCE.NS,6766110208.0
2024-01-06,RELIANCE.NS,6766110208.0
2024-01-10,RELIANCE.NS,6766110208.0
2024-01-10,RELIANCE.NS,6784070144.0
2024-01-17,RELIANCE.NS,6766110208.0
2024-01-18,RELIANCE.NS,6766110208.0
2024-01-18,RELIANCE.NS,6830960128.0
2024-01-19,RELIANCE.NS,6766110208.0
2024-01-20,RELIANCE.NS,6768580096.0
2024-01-20,RELIANCE.NS,6766110208.0
2024-01-23,RELIANCE.NS,6766110208.0
2024-01-24,RELIANCE.NS,6964089856.0
2024-01-24,RELIANCE.NS,6766110208.0
2024-01-25,RELIANCE.NS,6766110208.0
2024-01-26,RELIANCE.NS,6766110208.0
2024-01-31,RELIANCE.NS,6960419840.0
2024-01-31,RELIANCE.NS,6766110208.0
2024-02-02,RELIANCE.NS,6766110208.0
2024-02-03,RELIANCE.NS,6766110208.0
2024-02-07,RELIANCE.NS,6819299840.0
2024-02-07,RELIANCE.NS,6766110208.0
2024-02-09,RELIANCE.NS,6766110208.0
2024-02-10,RELIANCE.NS,6766110208.0
2024-02-13,RELIANCE.NS,6766110208.0
2024-02-13,RELIANCE.NS,6805239808.0
2024-02-14,RELIANCE.NS,6766110208.0
2024-02-15,RELIANCE.NS,6766110208.0
2024-02-16,RELIANCE.NS,6815680000.0
2024-02-16,RELIANCE.NS,6766110208.0
2024-02-17,RELIANCE.NS,6812550144.0
2024-02-17,RELIANCE.NS,6766110208.0
2024-02-21,RELIANCE.NS,6779789824.0
2024-02-21,RELIANCE.NS,6766110208.0
2024-02-22,RELIANCE.NS,6781440000.0
2024-02-22,RELIANCE.NS,6766110208.0
2024-02-23,RELIANCE.NS,6766110208.0
2024-02-24,RELIANCE.NS,6766110208.0
2024-02-27,RELIANCE.NS,6766110208.0
2024-02-29,RELIANCE.NS,6766110208.0
2024-03-01,RELIANCE.NS,6766110208.0
2024-03-02,RELIANCE.NS,6766110208.0
2024-03-05,RELIANCE.NS,6766110208.0
2024-03-06,RELIANCE.NS,6798580224.0
2024-03-06,RELIANCE.NS,6766110208.0
2024-03-07,RELIANCE.NS,6766110208.0
2024-03-08,RELIANCE.NS,6876250112.0
2024-03-08,RELIANCE.NS,6766110208.0
2024-03-12,RELIANCE.NS,6822969856.0
2024-03-12,RELIANCE.NS,6766110208.0
2024-03-13,RELIANCE.NS,6766110208.0
2024-03-15,RELIANCE.NS,6766110208.0
2024-03-15,RELIANCE.NS,6769419776.0
2024-03-16,RELIANCE.NS,6766110208.0
2024-03-16,RELIANCE.NS,6829320192.0
2024-03-20,RELIANCE.NS,6833639936.0
2024-03-20,RELIANCE.NS,6766110208.0
2024-03-23,RELIANCE.NS,6766110208.0
2024-03-27,RELIANCE.NS,6766110208.0
2024-03-28,RELIANCE.NS,6766110208.0
2024-03-29,RELIANCE.NS,6766110208.0
2024-03-29,RELIANCE.NS,6797980160.0
2024-04-02,RELIANCE.NS,6766110208.0
2024-04-02,RELIANCE.NS,6771010048.0
2024-04-03,RELIANCE.NS,6766110208.0
2024-04-04,RELIANCE.NS,6836689920.0
2024-04-04,RELIANCE.NS,6766110208.0
2024-04-05,RELIANCE.NS,6806230016.0
2024-04-06,RELIANCE.NS,6779200000.0
2024-04-06,RELIANCE.NS,6766110208.0
2024-04-09,RELIANCE.NS,6766110208.0
2024-04-10,RELIANCE.NS,6869309952.0
2024-04-10,RELIANCE.NS,6766110208.0
2024-04-16,RELIANCE.NS,6776849920.0
2024-04-16,RELIANCE.NS,6766110208.0
2024-04-20,RELIANCE.NS,6766110208.0
2024-04-23,RELIANCE.NS,6766110208.0
2024-04-24,RELIANCE.NS,6766110208.0
2024-04-24,RELIANCE.NS,6861270016.0
2024-04-25,RELIANCE.NS,6808800256.0
2024-04-25,RELIANCE.NS,6766110208.0
2024-04-26,RELIANCE.NS,6766110208.0
2024-04-30,RELIANCE.NS,6766110208.0
2024-05-01,RELIANCE.NS,6766110208.0
2024-05-03,RELIANCE.NS,6768189952.0
2024-05-03,RELIANCE.NS,6766110208.0
2024-05-04,RELIANCE.NS,6919690240.0
2024-05-04,RELIANCE.NS,6766110208.0
2024-05-07,RELIANCE.NS,6766110208.0
2024-05-08,RELIANCE.NS,6766110208.0
2024-05-10,RELIANCE.NS,6766110208.0
2024-05-10,RELIANCE.NS,6884649984.0
2024-05-11,RELIANCE.NS,6766110208.0
2024-05-14,RELIANCE.NS,6788899840.0
2024-05-14,RELIANCE.NS,6766110208.0
2024-05-15,RELIANCE.NS,6766110208.0
2024-05-16,RELIANCE.NS,6784260096.0
2024-05-16,RELIANCE.NS,6766110208.0
2024-05-17,RELIANCE.NS,6766110208.0
2024-05-18,RELIANCE.NS,6766110208.0
2024-05-23,RELIANCE.NS,6766110208.0
2024-05-25,RELIANCE.NS,6766110208.0
2024-05-25,RELIANCE.NS,6792620032.0
2024-05-28,RELIANCE.NS,6830709760.0
2024-05-28,RELIANCE.NS,6766110208.0
2024-05-29,RELIANCE.NS,6766110208.0
2024-05-30,RELIANCE.NS,6766110208.0
2024-05-30,RELIANCE.NS,6838550016.0
2024-06-01,RELIANCE.NS,6766110208.0
2024-06-05,RELIANCE.NS,7313540096.0
2024-06-05,RELIANCE.NS,6766110208.0
2024-06-06,RELIANCE.NS,6766110208.0
2024-06-07,RELIANCE.NS,6766110208.0
2024-06-11,RELIANCE.NS,6766110208.0
2024-06-12,RELIANCE.NS,6834509824.0
2024-06-12,RELIANCE.NS,6766110208.0
2024-06-13,RELIANCE.NS,6766110208.0
2024-06-14,RELIANCE.NS,6766230016.0
2024-06-19,RELIANCE.NS,6766230016.0
2024-06-20,RELIANCE.NS,6766230016.0
2024-06-21,RELIANCE.NS,6766230016.0
2024-06-22,RELIANCE.NS,6856960000.0
2024-06-22,RELIANCE.NS,6766230016.0
2024-06-25,RELIANCE.NS,6766230016.0
2024-06-27,RELIANCE.NS,6766230016.0
2024-06-28,RELIANCE.NS,6766230016.0
2024-07-02,RELIANCE.NS,6789000192.0
2024-07-02,RELIANCE.NS,6766230016.0
2024-07-03,RELIANCE.NS,6766230016.0
2024-07-04,RELIANCE.NS,6821799936.0
2024-07-04,RELIANCE.NS,6766230016.0
2024-07-05,RELIANCE.NS,6766230016.0
